name,city,country,iata,icao,latitude,longitude
Charles de Gaulle International Airport,Paris,France,CDG,LFPG,49.012798,2.55
Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261390209,-3.926290035
Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101
OR Tambo International Airport,Johannesburg,South Africa,JNB,FAOR,-26.1392,28.246
Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971
Miami International Airport,Miami,United States,MIA,KMIA,25.79319954,-80.29060364
Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX,MMMX,19.4363,-99.072098
John F Kennedy International Airport,New York,United States,JFK,KJFK,40.63980103,-73.77890015
San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.61899948,-122.375
Shanghai Pudong International Airport,Shanghai,China,PVG,ZSPD,31.14340019,121.8050003
Washington Dulles International Airport,Washington,United States,IAD,KIAD,38.94449997,-77.45580292
Narita International Airport,Tokyo,Japan,NRT,RJAA,35.76470184,140.3860016
Daniel K Inouye International Airport,Honolulu,United States,HNL,PHNL,21.32062,-157.924228
Incheon International Airport,Seoul,South Korea,ICN,RKSI,37.46910095,126.4509964
Suvarnabhumi Airport,Bangkok,Thailand,BKK,VTBS,13.68109989,100.7470016
Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556
Hong Kong International Airport,Hong Kong,Hong Kong,HKG,VHHH,22.308901,113.915001
Sydney Kingsford Smith International Airport,Sydney,Australia,SYD,YSSY,-33.94609833,151.177002
Taiwan Taoyuan International Airport,Taipei,Taiwan,TPE,RCTP,25.0777,121.233002
London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941
General Edward Lawrence Logan International Airport,Boston,United States,BOS,KBOS,42.36429977,-71.00520325
Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048
Singapore Changi Airport,Singapore,Singapore,SIN,WSSS,1.35019,103.994003
Beijing Capital International Airport,Beijing,China,PEK,ZBAA,40.08010101,116.5849991
Guangzhou Baiyun International Airport,Guangzhou,China,CAN,ZGGG,23.39240074,113.2990036
Shenzhen Bao'an International Airport,Shenzhen,China,SZX,ZGSZ,22.63929939,113.810997
Christchurch International Airport,Christchurch,New Zealand,CHC,NZCH,-43.48939896,172.5319977
Dubai International Airport,Dubai,United Arab Emirates,DXB,OMDB,25.25279999,55.36439896
Queen Alia International Airport,Amman,Jordan,AMM,OJAI,31.72260094,35.99319839
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,EHAM,52.308601,4.76389
Auckland International Airport,Auckland,New Zealand,AKL,NZAA,-37.0080986,174.7920074
Barcelona International Airport,Barcelona,Spain,BCN,LEBL,41.2971,2.07846
Birmingham International Airport,Birmingham,United Kingdom,BHX,EGBB,52.45389938,-1.748029947
Brisbane International Airport,Brisbane,Australia,BNE,YBBN,-27.38419914,153.1170044
Cairo International Airport,Cairo,Egypt,CAI,HECA,30.12190056,31.40559959
Mohammed V International Airport,Casablanca,Morocco,CMN,GMMN,33.36750031,-7.589970112
Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH,EKCH,55.61790085,12.65600014
Düsseldorf Airport,Duesseldorf,Germany,DUS,EDDL,51.289501,6.76678
Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.63040161,9.988229752
George Bush Intercontinental Houston Airport,Houston,United States,IAH,KIAH,29.9843998,-95.34140015
King Abdulaziz International Airport,Jeddah,Saudi Arabia,JED,OEJN,21.6796,39.156502
Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.745579958,101.7099991
London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278
Madrid-Barajas Adolfo Suárez  Airport,Madrid,Spain,MAD,LEMD,40.471926,-3.56264
Manchester Airport,Manchester,United Kingdom,MAN,EGCC,53.35369873,-2.274950027
Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,MRU,FIMP,-20.430201,57.683601
Melbourne International Airport,Melbourne,Australia,MEL,YMML,-37.673302,144.843002
Malpensa International Airport,Milano,Italy,MXP,LIMC,45.6306,8.72811
Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.40879822,37.90629959
Chhatrapati Shivaji International Airport,Mumbai,India,BOM,VABB,19.08869934,72.86789703
Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861
Muscat International Airport,Muscat,Oman,MCT,OOMS,23.59329987,58.28440094
Nice Côte d'Azur Airport,Nice,France,NCE,LFMN,43.65840149,7.215869904
Kansai International Airport,Osaka,Japan,KIX,RJBB,34.4272995,135.2440033
Perth International Airport,Perth,Australia,PER,YPPH,-31.94029999,115.9670029
Václav Havel Airport Prague,Prague,Czech Republic,PRG,LKPR,50.1008,14.26
King Khaled International Airport,Riyadh,Saudi Arabia,RUH,OERK,24.95759964,46.69879913
Leonardo da Vinci Airport,Rome,Italy,FCO,LIRF,41.8002778,12.2388889
Governor André Franco Montoro International Airport,Sao Paulo,Brazil,GRU,SBGR,-23.43555641,-46.47305679
Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.67720032,-79.63059998
Vienna International Airport,Vienna,Austria,VIE,LOWW,48.11029816,16.56970024
Zurich Airport,Zurich,Switzerland,ZRH,LSZH,47.464699,8.54917
Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,AUH,OMAA,24.43300056,54.65110016
Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.5665,77.103104
Prince Mohammad Bin Abdulaziz Airport,Madinah,Saudi Arabia,MED,OEMA,24.5534,39.705101
Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,32.896801,-97.038002
Hamad International Airport,Doha,Qatar,DOH,OTHH,25.273056,51.608056
